model,best_params,accuracy,precision,recall,f1
logistic_regression,{'C': 1},0.8873612638736127,0.7453993210648562,0.8344,0.7873926582995188
svm,"{'C': 1, 'kernel': 'rbf'}",0.9534546545345466,0.9008866995073892,0.9144,0.9075930521091812
random_forest,"{'max_depth': 20, 'n_estimators': 100}",0.9698030196980302,0.9248163896405103,0.957,0.9406329860428543
